12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets Asia ETF;;;;;;;;;;;;;;;
Inception Date;Feb 08, 2012;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);892.00;;;;;;;;;;;;;;
Shares Outstanding;7,250,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
291;CHINA RESOURCES BEER HOLDINGS LTD;Equity;0,21;5,63;182 000,00;1 023 883,56;1 023 883,56;Consumer Staples;6972459;HK0291001490;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
960;LONGFOR GROUP HOLDINGS LTD;Equity;0,21;4,73;213 500,00;1 009 635,36;1 009 635,36;Real Estate;B56KLY9;KYG5635P1090;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
HCLTECH;HCL TECHNOLOGIES LTD;Equity;0,21;7,52;131 988,00;993 139,99;993 139,99;Information Technology;6294896;INE860A01027;National Stock Exchange Of India;India;USD;INR;75,85
034730;SK HOLDINGS LTD;Equity;0,21;231,77;4 271,00;989 872,90;989 872,90;Industrials;B39Z8L3;KR7034730002;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
2002;CHINA STEEL CORP;Equity;0,20;0,70;1 404 867,00;978 003,02;978 003,02;Materials;6190950;TW0002002003;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
788;CHINA TOWER CORP LTD H;Equity;0,20;0,19;5 078 000,00;976 273,85;976 273,85;Communication;BFZ2PK0;CNE100003688;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
033780;KT&G CORP;Equity;0,20;69,11;14 097,00;974 306,70;974 306,70;Consumer Staples;6175076;KR7033780008;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
3711;ASE TECHNOLOGY HOLDING LTD;Equity;0,20;2,24;427 484,00;955 472,78;955 472,78;Information Technology;BFXZDY1;TW0003711008;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
028260;SAMSUNG C&T CORP;Equity;0,20;90,13;10 573,00;952 957,72;952 957,72;Industrials;BSXN8K7;KR7028260008;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
586;CHINA CONCH VENTURE HOLDINGS LTD;Equity;0,20;4,55;206 000,00;938 284,67;938 284,67;Industrials;BH7HM06;KYG2116J1085;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
MARUTI;MARUTI SUZUKI INDIA LTD;Equity;0,20;73,32;12 792,00;937 950,71;937 950,71;Consumer Discretionary;6633712;INE585B01010;National Stock Exchange Of India;India;USD;INR;75,85
2892;FIRST FINANCIAL HOLDING LTD;Equity;0,20;0,77;1 215 762,00;936 525,70;936 525,70;Financials;6580119;TW0002892007;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
175;GEELY AUTOMOBILE HOLDINGS LTD;Equity;0,19;1,55;598 000,00;929 009,95;929 009,95;Consumer Discretionary;6531827;KYG3777B1032;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
000270;KIA MOTORS CORP;Equity;0,19;29,07;31 826,00;925 328,13;925 328,13;Consumer Discretionary;6490928;KR7000270009;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
VIPS;VIPSHOP HOLDINGS SPONSORED ADS REP;Equity;0,19;17,72;52 194,00;924 877,68;924 877,68;Consumer Discretionary;B3N0H17;US92763W1036;New York Stock Exchange Inc.;China;USD;USD;1,00
TENAGA;TENAGA NASIONAL;Equity;0,19;2,78;329 400,00;916 994,02;916 994,02;Utilities;6904612;MYL5347OO009;Bursa Malaysia;Malaysia;USD;MYR;4,27
981;SEMICONDUCTOR MANUFACTURING INTERN;Equity;0,19;2,50;365 800,00;914 724,20;914 724,20;Information Technology;BDFBM13;KYG8020E1199;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
ADVANC.R;ADVANCED INFO SERVICE NON-VOTING D;Equity;0,19;6,21;144 900,00;900 435,80;900 435,80;Communication;6412609;TH0268010R11;Stock Exchange Of Thailand;Thailand;USD;THB;30,98
2601;CHINA PACIFIC INSURANCE (GROUP) LT;Equity;0,19;2,80;319 200,00;893 748,47;893 748,47;Financials;B2Q5H56;CNE1000009Q7;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
1101;TAIWAN CEMENT CORP;Equity;0,18;1,45;602 069,00;870 739,98;870 739,98;Materials;6869937;TW0001101004;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
857;PETROCHINA LTD H;Equity;0,18;0,34;2 532 000,00;869 036,53;869 036,53;Energy;6226576;CNE1000003W8;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2207;HOTAI MOTOR LTD;Equity;0,18;22,86;37 000,00;845 700,03;845 700,03;Consumer Discretionary;6417165;TW0002207008;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
MAYBANK;MALAYAN BANKING;Equity;0,18;1,85;453 700,00;840 953,02;840 953,02;Financials;6556325;MYL1155OO000;Bursa Malaysia;Malaysia;USD;MYR;4,27
ASII;ASTRA INTERNATIONAL;Equity;0,17;0,34;2 469 500,00;835 079,77;835 079,77;Consumer Discretionary;B800MQ5;ID1000122807;Indonesia Stock Exchange;Indonesia;USD;IDR;14 165,00
086790;HANA FINANCIAL GROUP INC;Equity;0,17;23,09;36 042,00;832 337,27;832 337,27;Financials;B0RNRF5;KR7086790003;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
BDMS.R;BANGKOK DUSIT MEDICAL SERVICES NON;Equity;0,17;0,73;1 141 100,00;828 819,30;828 819,30;Health Care;B013SV4;TH0264010R10;Stock Exchange Of Thailand;Thailand;USD;THB;30,98
